threads, time
1,7218904548
2,4025478012
3,3311779887
4,2374695229
5,2291378115
6,2262519631
7,2209159894
8,2307053618
9,2279235520
10,2252656946
11,2226327345
12,2222397547
13,2195173597
14,2186969356
15,2262703937
16,2373126382
17,2193368872
18,2189523875
19,2202380063
20,2228901174
21,2193055657
22,2226595798
23,2252416900
24,2203120551
25,2188467210
26,2205618960
27,2198182650
28,2203272180
29,2202275942
30,2205550373
31,2196761180
32,2217676215
33,2303698341
34,2190577503
35,2197942106
36,2203699190
37,2197526094
38,2197664741
39,2201242485
40,2221237940
41,2220393117
42,2214504669
43,2196469086
44,2208945799
45,2206109270
46,2210345346
47,2228728320
48,2218028613
49,2243979495
50,2237701726
51,2235923750
52,2204047143
53,2238931460
54,2217057967
55,2234976543
56,2215042177
57,2218900736
58,2218411205
59,2223282035
60,2224000762
